name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"New York, NY, United States",2024-12-16,51.3,38.2,44.8,51.3,34,41.9,41.4,88,0.889,100,83.33,rain,0,0,26.4,10,79.1,1028.8,100,4.2,26.2,2.2,1,,2024-12-16T07:14:07,2024-12-16T16:29:54,0.54,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-17,58.7,51,53.6,58.7,51,53.6,42.8,69,0.085,100,16.67,rain,0,0,32.2,12.4,237.1,1019.9,65.8,9.4,71.3,6.3,4,,2024-12-17T07:14:46,2024-12-17T16:30:15,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-18,53.2,43,47.7,53.2,40.9,46.9,33.3,58.9,0.128,100,20.83,rain,0,0,13.2,8.3,83.3,1020.8,48,8.7,87.6,7.7,5,,2024-12-18T07:15:22,2024-12-18T16:30:39,0.61,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-19,44.6,36.9,41.5,40.6,31.3,35.8,26.8,56.8,0.148,100,16.67,rain,0,0,29.8,17,321,1022.7,54.7,9.5,76.2,6.5,5,,2024-12-19T07:15:56,2024-12-19T16:31:04,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-20,37.1,33.4,35.8,30.9,25.4,28.4,26.6,69.9,0.042,100,20.83,"rain,snow",0,0,29.8,17,38,1017.4,89.7,8.8,13.2,1.1,1,,2024-12-20T07:16:29,2024-12-20T16:31:32,0.67,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-21,33.4,20.4,28.5,27.6,8.8,18.1,16.7,62.7,0.127,100,33.33,"rain,snow",0.1,0.2,38,23,315,1017.2,70.9,6.8,105.5,9.1,5,,2024-12-21T07:16:59,2024-12-21T16:32:02,0.7,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-22,20.9,14.4,18.2,13.3,0.7,6,1.3,47.6,0,0,0,,0,0.2,28.9,18.4,321,1030.8,10.8,9.9,107.3,9.3,5,,2024-12-22T07:17:28,2024-12-22T16:32:34,0.75,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-23,29.8,12.5,20.6,27,1.3,15,4.5,50.1,0,0,0,,0,0.1,15.2,9.2,11.6,1035.8,21.5,9.9,97.5,8.4,4,,2024-12-23T07:17:54,2024-12-23T16:33:07,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-24,39.3,28.7,33.7,35,21.3,27.4,21.8,62.1,0.054,100,12.5,"rain,snow",0,0.1,20.8,13,274.8,1025.7,71.5,8.9,50.5,4.3,4,,2024-12-24T07:18:19,2024-12-24T16:33:43,0.8,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-25,35.4,28.9,32.9,33.5,21,28.5,20.8,60.9,0,0,0,,0,0,18.3,9.6,5.6,1028.4,65.1,9.9,69.8,6.1,5,,2024-12-25T07:18:41,2024-12-25T16:34:21,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-26,36,25,30.3,36,18.1,26.2,16.8,57.4,0,0,0,,0,0,11.2,6.8,7.1,1031.2,21.3,9.9,109.5,9.5,6,,2024-12-26T07:19:01,2024-12-26T16:35:01,0.86,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-27,42.5,26.4,34.8,42.3,21.6,33.6,22.9,61.7,0,0,0,,0,0,9.4,5.8,351.7,1030.3,31.6,9.8,83.2,7.1,4,,2024-12-27T07:19:19,2024-12-27T16:35:42,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-28,50.9,39.3,44.8,50.9,36.6,44.4,40.5,84.9,0.528,100,91.67,rain,0,0,8.3,5.6,337.4,1024.8,100,3.3,18.9,1.6,1,,2024-12-28T07:19:35,2024-12-28T16:36:26,0.93,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-29,64.5,49.2,54.6,64.5,48.4,54.6,47.7,77.8,0.156,100,33.33,rain,0,0,32.4,16.9,160.3,1017.4,92.9,6.5,53.9,4.6,3,,2024-12-29T07:19:48,2024-12-29T16:37:11,0.96,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-30,57.8,48.7,54.8,57.8,47.9,54.7,40.3,61.2,0.338,100,25,rain,0,0,34.4,21.1,224.7,1005,72.4,8.8,79.9,6.9,5,,2024-12-30T07:20:00,2024-12-30T16:37:58,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
"New York, NY, United States",2024-12-31,52.2,44.5,48,52.2,38.6,45.8,33.8,58.9,0.463,100,12.5,rain,0,0,23,13.5,124.4,1009.8,28.6,9.2,102.3,8.8,5,,2024-12-31T07:20:09,2024-12-31T16:38:47,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"
